Date,Open,High,Low,Close
2018-03-19,5.7,5.64,5.82,5.64
2018-03-20,5.61,5.54,5.72,5.5
2018-03-21,5.69,5.64,5.87,5.62
2018-03-22,5.78,5.73,5.9,5.72
2018-03-23,5.47,5.67,5.68,5.3
2018-03-26,5.41,5.21,5.43,5.18
2018-03-27,5.52,5.45,5.58,5.44
2018-03-28,5.4,5.41,5.47,5.36
2018-03-29,5.52,5.41,5.53,5.4
2018-03-30,5.5,5.55,5.58,5.45
2018-04-02,5.44,5.49,5.53,5.42
2018-04-03,5.35,5.39,5.39,5.28
2018-04-04,5.28,5.34,5.4,5.26
2018-04-09,5.32,5.26,5.34,5.22
2018-04-10,5.39,5.33,5.39,5.29
2018-04-11,5.43,5.45,5.49,5.4
2018-04-12,5.37,5.45,5.45,5.37
2018-04-13,5.28,5.38,5.42,5.27
2018-04-16,5.14,5.11,5.21,5.11
2018-04-17,4.99,5.14,5.17,4.98
2018-04-18,5.04,5.03,5.06,4.94
2018-04-19,5.06,5.06,5.1,5.04
2018-04-20,4.94,5.04,5.05,4.92
2018-04-23,4.97,4.96,4.97,4.89
2018-04-24,5.04,4.97,5.07,4.97
2018-04-25,5.08,5.03,5.08,5.02
2018-04-26,5.39,5.08,5.39,5.02
2018-04-27,5.39,5.32,5.65,5.26
2018-05-02,5.07,5.23,5.29,5.07
2018-05-03,5.08,5.07,5.12,4.95
2018-05-04,5.07,5.07,5.1,5.03
2018-05-07,5.18,5.06,5.19,5.06
2018-05-08,5.15,5.15,5.19,5.13
2018-05-09,5.2,5.15,5.26,5.14
2018-05-10,5.32,5.27,5.45,5.26
2018-05-11,5.18,5.29,5.31,5.17
2018-05-14,5.08,5.18,5.21,5.07
2018-05-15,5.16,5.08,5.16,5.06
2018-05-16,5.13,5.13,5.17,5.12
2018-05-17,5.19,5.14,5.27,5.14
2018-05-18,5.45,5.18,5.52,5.18
2018-05-21,5.4,5.4,5.45,5.35
2018-05-22,5.45,5.42,5.63,5.41
2018-05-23,5.33,5.41,5.41,5.28
2018-05-24,5.37,5.31,5.41,5.3
2018-05-25,5.26,5.35,5.36,5.25
2018-05-28,5.08,5.19,5.2,5.04
2018-05-29,5.05,5.12,5.12,5.05
2018-05-30,4.92,4.98,5.05,4.91
2018-05-31,5.03,4.98,5.07,4.96
2018-06-01,5.01,5.01,5.08,4.95
2018-06-04,5.05,5.01,5.07,5.0
2018-06-05,5.08,5.06,5.08,5.0
2018-06-06,5.08,5.08,5.09,5.05
2018-06-07,5.0,5.08,5.09,5.0
2018-06-08,4.93,5.0,5.03,4.83
2018-06-11,4.87,4.95,4.95,4.84
2018-06-12,4.92,4.86,4.96,4.82
2018-06-13,4.77,4.91,4.92,4.77
2018-06-14,4.75,4.77,4.83,4.7
2018-06-15,4.58,4.75,4.75,4.52
2018-06-19,4.19,4.58,4.64,4.13
2018-06-20,4.2,4.11,4.23,4.06
2018-06-21,4.11,4.19,4.22,4.1
2018-06-22,4.18,4.06,4.18,4.05
2018-06-25,4.15,4.23,4.26,4.14
2018-06-26,4.22,4.11,4.24,4.11
2018-06-27,4.22,4.23,4.32,4.19
2018-06-28,4.35,4.3,4.39,4.23
2018-06-29,4.38,4.3,4.41,4.26
2018-07-02,4.33,4.38,4.39,4.3
2018-07-03,4.37,4.34,4.38,4.24
2018-07-04,4.3,4.35,4.38,4.27
2018-07-05,4.19,4.28,4.32,4.17
2018-07-06,4.03,4.02,4.08,3.92
2018-07-09,4.11,4.03,4.11,4.03
2018-07-10,4.12,4.13,4.14,4.07
2018-07-11,4.03,4.07,4.07,3.98
2018-07-12,4.11,4.02,4.12,4.02
2018-07-13,4.09,4.1,4.12,4.08
2018-07-16,4.07,4.09,4.1,4.03
2018-07-17,4.06,4.07,4.07,4.02
2018-07-18,4.06,4.06,4.1,4.05
2018-07-19,4.05,4.06,4.08,4.01
2018-07-20,4.09,4.05,4.1,4.01
2018-07-23,4.11,4.07,4.13,4.05
2018-07-24,4.19,4.12,4.22,4.11
2018-07-25,4.21,4.17,4.22,4.16
2018-07-26,4.27,4.2,4.32,4.18
2018-07-27,4.25,4.28,4.4,4.24
2018-07-30,4.29,4.2,4.39,4.17
2018-07-31,4.41,4.28,4.45,4.23
2018-08-01,4.22,4.35,4.38,4.21
2018-08-02,4.09,4.21,4.21,4.03
2018-08-03,4.11,4.07,4.18,4.07
2018-08-06,4.06,4.08,4.13,4.04
2018-08-07,4.25,4.06,4.32,4.05
2018-08-08,4.3,4.22,4.5,4.2
2018-08-09,4.33,4.25,4.38,4.2
2018-08-10,4.27,4.28,4.3,4.23
2018-08-13,4.25,4.24,4.26,4.19
2018-08-14,4.28,4.26,4.3,4.23
2018-08-15,4.18,4.26,4.28,4.18
2018-08-16,4.06,4.11,4.13,4.02
2018-08-17,4.02,4.09,4.12,4.01
2018-08-20,4.05,4.03,4.06,3.96
2018-08-21,4.07,4.05,4.11,4.03
2018-08-22,4.05,4.06,4.1,4.04
2018-08-23,4.06,4.09,4.1,4.04
2018-08-24,4.06,4.04,4.06,4.01
2018-08-27,4.11,4.05,4.12,4.02
2018-08-28,4.1,4.11,4.12,4.07
2018-08-29,4.06,4.1,4.1,4.03
2018-08-30,4.02,4.05,4.08,4.0
2018-08-31,3.97,4.0,4.03,3.96
2018-09-03,3.97,3.97,3.99,3.92
2018-09-04,4.03,4.0,4.05,3.96
2018-09-05,3.98,4.04,4.06,3.97
2018-09-06,3.97,3.98,4.02,3.96
2018-09-07,4.0,3.98,4.04,3.97
2018-09-10,3.95,4.06,4.06,3.95
2018-09-11,3.99,3.95,4.01,3.91
2018-09-12,4.01,3.98,4.05,3.98
2018-09-13,4.12,4.03,4.13,4.0
2018-09-14,4.03,4.08,4.1,4.01
2018-09-17,3.94,4.02,4.02,3.74
2018-09-18,4.01,3.91,4.02,3.87
2018-09-19,4.05,3.98,4.08,3.97
2018-09-20,4.05,4.03,4.06,4.02
2018-09-21,4.07,4.06,4.09,4.04
2018-09-25,4.08,4.07,4.13,4.06
2018-09-26,4.07,4.08,4.1,4.05
2018-09-27,3.96,4.06,4.07,3.96
2018-09-28,4.01,3.97,4.02,3.96
2018-10-08,3.94,4.01,4.07,3.91
2018-10-09,4.08,3.95,4.08,3.94
2018-10-10,4.09,4.12,4.19,4.07
2018-10-11,3.72,3.95,3.95,3.68
2018-10-12,3.69,3.69,3.74,3.48
2018-10-15,3.56,3.68,3.74,3.55
2018-10-16,3.45,3.54,3.62,3.4
2018-10-17,3.59,3.51,3.59,3.42
2018-10-18,3.41,3.53,3.53,3.38
2018-10-19,3.42,3.37,3.48,3.24
2018-10-22,3.57,3.44,3.6,3.44
2018-10-23,3.52,3.57,3.58,3.47
2018-10-24,3.55,3.52,3.59,3.47
2018-10-25,3.54,3.41,3.54,3.38
2018-10-26,3.58,3.54,3.61,3.54
2018-10-29,3.52,3.58,3.58,3.49
2018-10-30,3.56,3.51,3.58,3.44
2018-10-31,3.57,3.55,3.65,3.54
2018-11-01,3.6,3.57,3.65,3.57
2018-11-02,3.72,3.62,3.77,3.59
2018-11-05,3.73,3.68,3.75,3.64
2018-11-06,3.77,3.7,3.84,3.67
2018-11-07,3.77,3.76,3.82,3.7
2018-11-08,3.77,3.82,3.89,3.74
2018-11-09,3.77,3.73,3.78,3.68
2018-11-12,3.93,3.76,3.94,3.75
2018-11-13,4.05,4.02,4.15,3.97
2018-11-14,4.21,4.08,4.46,4.01
2018-11-15,4.48,4.37,4.63,4.21
2018-11-16,4.46,4.35,4.79,4.27
2018-11-19,4.33,4.47,4.48,4.28
2018-11-20,4.14,4.23,4.29,4.14
2018-11-21,4.19,4.17,4.24,4.07
2018-11-22,4.19,4.22,4.27,4.12
2018-11-23,3.89,4.19,4.23,3.88
2018-11-26,3.9,3.87,3.95,3.85
2018-11-27,3.95,3.92,3.97,3.9
2018-11-28,4.02,4.0,4.04,3.91
2018-11-29,3.87,4.05,4.05,3.81
2018-11-30,4.0,3.92,4.06,3.87
2018-12-03,4.17,4.04,4.2,4.02
2018-12-04,4.18,4.17,4.19,4.12
2018-12-05,4.13,4.07,4.16,4.06
2018-12-06,4.11,4.13,4.29,4.09
2018-12-07,4.04,4.08,4.15,4.02
2018-12-10,4.06,4.03,4.1,4.0
2018-12-11,4.02,4.02,4.07,3.99
2018-12-12,4.05,4.03,4.06,4.0
2018-12-13,4.1,4.06,4.12,4.02
2018-12-14,3.98,4.1,4.14,3.98
2018-12-17,4.03,3.94,4.03,3.88
2018-12-18,4.01,4.02,4.04,3.9
2018-12-19,3.9,4.03,4.04,3.89
2018-12-20,3.94,3.9,3.96,3.88
2018-12-21,3.9,3.94,3.94,3.86
2018-12-24,3.93,3.9,3.94,3.87
2018-12-25,3.81,3.9,3.9,3.74
2018-12-26,3.81,3.81,3.84,3.78
2018-12-27,3.74,3.86,3.94,3.74
2018-12-28,3.75,3.84,3.84,3.71
2019-01-02,3.77,3.8,3.8,3.75
2019-01-03,3.76,3.8,3.82,3.73
2019-01-04,3.88,3.72,3.88,3.71
2019-01-07,3.95,3.87,3.95,3.87
2019-01-08,3.95,3.95,3.99,3.94
2019-01-09,3.98,3.96,4.06,3.96
2019-01-10,3.99,3.99,4.04,3.96
2019-01-11,4.01,3.99,4.02,3.95
2019-01-14,4.01,4.01,4.03,3.98
2019-01-15,4.09,4.02,4.13,4.0
2019-01-16,4.02,4.07,4.07,3.99
2019-01-17,4.01,4.01,4.03,3.98
2019-01-18,4.08,3.98,4.09,3.98
2019-01-21,4.15,4.08,4.17,4.05
2019-01-22,4.04,4.11,4.13,3.99
2019-01-23,4.14,4.03,4.15,3.99
2019-01-24,4.23,4.55,4.55,4.21
